,predicted_label,correct_label,runtime,attempts,distance
0,vase,cup,0 days 00:00:03.639661,3,1 ft
1,cup,cup,0 days 00:00:01.628599,2,1 ft
2,vase,cup,0 days 00:00:01.681335,2,1 ft
3,cup,cup,0 days 00:00:01.648179,2,1 ft
4,vase,cup,0 days 00:00:01.850853,2,1 ft
5,cup,cup,0 days 00:00:01.900135,3,1 ft
6,vase,cup,0 days 00:00:01.740448,3,1 ft
7,vase,cup,0 days 00:00:01.639072,2,1 ft
8,cup,cup,0 days 00:00:01.785318,4,1 ft
9,cup,cup,0 days 00:00:01.852841,3,1 ft
10,cup,cup,0 days 00:00:01.649223,2,1 ft
11,cup,cup,0 days 00:00:01.687303,2,1 ft
12,cup,cup,0 days 00:00:01.932058,3,1 ft
13,cup,cup,0 days 00:00:01.716240,3,1 ft
14,cup,cup,0 days 00:00:01.785887,4,1 ft
15,cup,cup,0 days 00:00:01.625321,2,1 ft
16,cup,cup,0 days 00:00:01.816966,4,1 ft
17,vase,cup,0 days 00:00:01.683708,3,1 ft
18,vase,cup,0 days 00:00:01.796156,2,1 ft
19,vase,cup,0 days 00:00:01.692226,3,1 ft
20,cup,cup,0 days 00:00:01.947222,5,1 ft
21,cup,cup,0 days 00:00:01.693210,2,1 ft
22,vase,cup,0 days 00:00:01.653085,2,1 ft
23,cup,cup,0 days 00:00:01.667734,2,1 ft
24,cup,cup,0 days 00:00:01.827499,3,1 ft
25,vase,cup,0 days 00:00:01.689670,3,1 ft
26,vase,cup,0 days 00:00:01.741971,3,1 ft
27,cup,cup,0 days 00:00:02.266795,6,1 ft
28,cup,cup,0 days 00:00:01.791715,4,1 ft
29,vase,cup,0 days 00:00:01.940997,5,1 ft
30,vase,cup,0 days 00:00:01.695038,2,1 ft
31,vase,cup,0 days 00:00:01.796347,2,1 ft
32,cup,cup,0 days 00:00:01.624444,2,1 ft
33,vase,cup,0 days 00:00:01.691446,3,1 ft
34,vase,cup,0 days 00:00:01.643685,2,1 ft
35,cup,cup,0 days 00:00:01.790123,4,1 ft
36,cup,cup,0 days 00:00:01.691408,2,1 ft
37,vase,cup,0 days 00:00:01.776741,3,1 ft
38,vase,cup,0 days 00:00:01.900061,2,1 ft
39,cup,cup,0 days 00:00:01.711968,3,1 ft
40,vase,cup,0 days 00:00:01.746881,3,1 ft
41,cup,cup,0 days 00:00:01.799028,4,1 ft
42,vase,cup,0 days 00:00:01.626452,2,1 ft
43,cup,cup,0 days 00:00:01.785510,4,1 ft
44,cup,cup,0 days 00:00:01.618638,2,1 ft
45,cup,cup,0 days 00:00:01.951705,3,1 ft
46,vase,cup,0 days 00:00:01.864194,2,1 ft
47,cup,cup,0 days 00:00:02.174591,3,1 ft
48,cup,cup,0 days 00:00:01.647569,2,1 ft
49,cup,cup,0 days 00:00:01.656809,2,1 ft
