,predicted_label,correct_label,runtime,attempts,distance
0,,cup,0 days 00:00:04.800679,10,2ft
1,,cup,0 days 00:00:02.722661,10,2ft
2,,cup,0 days 00:00:03.045445,10,2ft
3,,cup,0 days 00:00:02.881948,10,2ft
4,,cup,0 days 00:00:02.557937,10,2ft
5,,cup,0 days 00:00:02.557207,10,2ft
6,,cup,0 days 00:00:02.558672,10,2ft
7,,cup,0 days 00:00:02.558154,10,2ft
8,,cup,0 days 00:00:02.560200,10,2ft
9,,cup,0 days 00:00:02.557873,10,2ft
10,,cup,0 days 00:00:02.557665,10,2ft
11,,cup,0 days 00:00:02.722039,10,2ft
12,,cup,0 days 00:00:02.882072,10,2ft
13,,cup,0 days 00:00:02.721387,10,2ft
14,,cup,0 days 00:00:03.045359,10,2ft
15,,cup,0 days 00:00:02.557821,10,2ft
16,,cup,0 days 00:00:02.893802,10,2ft
17,,cup,0 days 00:00:02.729474,10,2ft
18,,cup,0 days 00:00:02.881919,10,2ft
19,,cup,0 days 00:00:02.565431,10,2ft
20,refrigerator,cup,0 days 00:00:02.308928,9,2ft
21,refrigerator,cup,0 days 00:00:01.725232,3,2ft
22,,cup,0 days 00:00:02.260980,10,2ft
23,,cup,0 days 00:00:02.178654,10,2ft
24,,cup,0 days 00:00:02.260948,10,2ft
25,,cup,0 days 00:00:02.433690,10,2ft
26,,cup,0 days 00:00:02.566187,10,2ft
27,,cup,0 days 00:00:02.263095,10,2ft
28,,cup,0 days 00:00:02.177637,10,2ft
29,,cup,0 days 00:00:02.262387,10,2ft
30,,cup,0 days 00:00:02.261398,10,2ft
31,,cup,0 days 00:00:02.261549,10,2ft
32,,cup,0 days 00:00:02.405761,10,2ft
33,,cup,0 days 00:00:02.178173,10,2ft
34,,cup,0 days 00:00:02.405138,10,2ft
35,person,cup,0 days 00:00:02.787585,7,2ft
36,,cup,0 days 00:00:02.262304,10,2ft
37,,cup,0 days 00:00:02.177654,10,2ft
38,,cup,0 days 00:00:02.178555,10,2ft
39,,cup,0 days 00:00:02.424639,10,2ft
40,,cup,0 days 00:00:02.565838,10,2ft
41,,cup,0 days 00:00:02.177917,10,2ft
42,person,cup,0 days 00:00:02.468806,9,2ft
43,,cup,0 days 00:00:02.178571,10,2ft
44,,cup,0 days 00:00:02.261493,10,2ft
45,,cup,0 days 00:00:02.565679,10,2ft
46,,cup,0 days 00:00:02.749363,10,2ft
47,,cup,0 days 00:00:02.178001,10,2ft
48,,cup,0 days 00:00:02.178225,10,2ft
49,,cup,0 days 00:00:02.261928,10,2ft
