,Unnamed: 0,predicted_label,correct_label,runtime,attempts,distance
0,0,cup,cup,4.180072,2,1ft
1,1,cup,cup,1.962262,2,1ft
2,2,cup,cup,1.891315,2,1ft
3,3,cup,cup,2.931336,8,1ft
4,4,cup,cup,2.320365,5,1ft
5,5,cup,cup,1.961431,2,1ft
6,6,cup,cup,2.029953,2,1ft
7,7,cup,cup,2.765202,8,1ft
8,8,dining table,cup,2.123621,2,1ft
9,9,cup,cup,2.786396,7,1ft
10,10,cup,cup,2.610109,8,1ft
11,11,cup,cup,2.779957,8,1ft
12,12,cup,cup,2.775248,8,1ft
13,13,cup,cup,2.753821,10,1ft
14,14,cup,cup,2.930649,9,1ft
15,15,dining table,cup,2.14282,4,1ft
16,16,cup,cup,2.771482,8,1ft
17,17,cup,cup,2.594026,9,1ft
18,18,dining table,cup,2.163974,4,1ft
19,19,cup,cup,2.752559,10,1ft
20,20,cup,cup,1.827672,3,1ft
21,21,vase,cup,53.662511,321,1ft
22,22,cup,cup,3.398845,12,1ft
23,23,cup,cup,3.411666,12,1ft
24,24,cup,cup,6.824955,33,1ft
25,25,cup,cup,1.898884,2,1ft
26,26,cup,cup,1.956293,2,1ft
27,27,cup,cup,2.92488,9,1ft
28,28,cup,cup,2.912544,9,1ft
29,29,cup,cup,2.928683,9,1ft
30,30,cup,cup,2.129475,4,1ft
31,31,cup,cup,2.613363,7,1ft
32,32,cup,cup,1.861364,2,1ft
33,33,cup,cup,2.212506,3,1ft
34,34,cup,cup,1.882681,2,1ft
35,35,cup,cup,1.960389,3,1ft
36,36,cup,cup,1.946033,3,1ft
37,37,cup,cup,2.172968,2,1ft
38,38,cup,cup,2.000148,3,1ft
39,39,cup,cup,2.119017,4,1ft
40,40,cup,cup,2.139058,4,1ft
41,41,cup,cup,1.970382,3,1ft
42,42,cup,cup,1.892133,2,1ft
43,43,cup,cup,1.856101,2,1ft
44,44,cup,cup,2.180533,2,1ft
45,45,cup,cup,2.11137,2,1ft
46,46,cup,cup,2.602731,7,1ft
47,47,cup,cup,2.26208,5,1ft
48,48,cup,cup,1.872221,2,1ft
49,49,cup,cup,2.267977,5,1ft
50,0,vase,cup,3.639661,3,1 ft
51,1,cup,cup,1.628599,2,1 ft
52,2,vase,cup,1.681335,2,1 ft
53,3,cup,cup,1.648179,2,1 ft
54,4,vase,cup,1.850853,2,1 ft
55,5,cup,cup,1.900135,3,1 ft
56,6,vase,cup,1.740448,3,1 ft
57,7,vase,cup,1.639072,2,1 ft
58,8,cup,cup,1.785318,4,1 ft
59,9,cup,cup,1.852841,3,1 ft
60,10,cup,cup,1.649223,2,1 ft
61,11,cup,cup,1.687303,2,1 ft
62,12,cup,cup,1.932058,3,1 ft
63,13,cup,cup,1.71624,3,1 ft
64,14,cup,cup,1.785887,4,1 ft
65,15,cup,cup,1.625321,2,1 ft
66,16,cup,cup,1.816966,4,1 ft
67,17,vase,cup,1.683708,3,1 ft
68,18,vase,cup,1.796156,2,1 ft
69,19,vase,cup,1.692226,3,1 ft
70,20,cup,cup,1.947222,5,1 ft
71,21,cup,cup,1.69321,2,1 ft
72,22,vase,cup,1.653085,2,1 ft
73,23,cup,cup,1.667734,2,1 ft
74,24,cup,cup,1.827499,3,1 ft
